freq, data
2.838250000000000000e+09, -2.114509133039509159e+00
2.838500000000000000e+09, -2.048573000728837634e+00
2.838750000000000000e+09, -1.981049265198297604e+00
2.839000000000000000e+09, -1.911886250170932833e+00
2.839250000000000000e+09, -1.841030148461098470e+00
2.839500000000000000e+09, -1.768424915162176703e+00
2.839750000000000000e+09, -1.694012154510358137e+00
2.840000000000000000e+09, -1.617730999991494834e+00
2.840250000000000000e+09, -1.539517987224351181e+00
2.840500000000000000e+09, -1.459306919116880152e+00
2.840750000000000000e+09, -1.377028722752241308e+00
2.841000000000000000e+09, -1.292611297417834315e+00
2.841250000000000000e+09, -1.205979353143232125e+00
2.841500000000000000e+09, -1.117054239061244125e+00
2.841750000000000000e+09, -1.025753760849956286e+00
2.842000000000000000e+09, -9.319919864519823349e-01
2.842250000000000000e+09, -8.356790391998272227e-01
2.842500000000000000e+09, -7.367208774025870710e-01
2.842750000000000000e+09, -6.350190593685036688e-01
2.843000000000000000e+09, -5.304704927495320632e-01
2.843250000000000000e+09, -4.229671669969912173e-01
2.843500000000000000e+09, -3.123958676110154542e-01
2.843750000000000000e+09, -1.986378707494145246e-01
2.844000000000000000e+09, -8.156861663297299003e-02
2.844250000000000000e+09, 3.894263995748037388e-02
2.844500000000000000e+09, 1.630332039529358568e-01
2.844750000000000000e+09, 2.908473410698091399e-01
2.845000000000000000e+09, 4.225367079081427946e-01
2.845250000000000000e+09, 5.582608135071582822e-01
2.845500000000000000e+09, 6.981875150232452754e-01
2.845750000000000000e+09, 8.424935504525654650e-01
2.846000000000000000e+09, 9.913651116055577361e-01
2.846250000000000000e+09, 1.144998460856902156e+00
2.846500000000000000e+09, 1.303600595545922225e+00
2.846750000000000000e+09, 1.467389964293063009e+00
2.847000000000000000e+09, 1.636597239933192505e+00
2.847250000000000000e+09, 1.811466154251291094e+00
2.847500000000000000e+09, 1.992254400247261081e+00
2.847750000000000000e+09, 2.179234608261022110e+00
2.848000000000000000e+09, 2.372695402965468325e+00
2.848250000000000000e+09, 2.572942548992183553e+00
2.848500000000000000e+09, 2.780300193804316145e+00
2.848750000000000000e+09, 2.995112217384874320e+00
2.849000000000000000e+09, 3.217743699381254707e+00
2.849250000000000000e+09, 3.448582515554401873e+00
2.849500000000000000e+09, 3.688041076742664792e+00
2.849750000000000000e+09, 3.936558225087810392e+00
2.850000000000000000e+09, 4.194601304008975795e+00
2.850250000000000000e+09, 4.462668420379023893e+00
2.850500000000000000e+09, 4.741290919590240627e+00
2.850750000000000000e+09, 5.031036096732230511e+00
2.851000000000000000e+09, 5.332510169989773452e+00
2.851250000000000000e+09, 5.646361545655710579e+00
2.851500000000000000e+09, 5.973284407905686599e+00
2.851750000000000000e+09, 6.314022670771037404e+00
2.852000000000000000e+09, 6.669374334657985237e+00
