freq, data
2.811250000000000000e+09, -7.321188073590466416e+00
2.811500000000000000e+09, -7.303610467947175167e+00
2.811750000000000000e+09, -7.285806040489422486e+00
2.812000000000000000e+09, -7.267770855891865445e+00
2.812250000000000000e+09, -7.249500892782025474e+00
2.812500000000000000e+09, -7.230992041464544329e+00
2.812750000000000000e+09, -7.212240101574684203e+00
2.813000000000000000e+09, -7.193240779658534478e+00
2.813250000000000000e+09, -7.173989686677291644e+00
2.813500000000000000e+09, -7.154482335432859941e+00
2.813750000000000000e+09, -7.134714137911934984e+00
2.814000000000000000e+09, -7.114680402545573656e+00
2.814250000000000000e+09, -7.094376331381181622e+00
2.814500000000000000e+09, -7.073797017163664158e+00
2.814750000000000000e+09, -7.052937440322413210e+00
2.815000000000000000e+09, -7.031792465860598362e+00
2.815250000000000000e+09, -7.010356840143149526e+00
2.815500000000000000e+09, -6.988625187579593501e+00
2.815750000000000000e+09, -6.966592007197817793e+00
2.816000000000000000e+09, -6.944251669104595237e+00
2.816250000000000000e+09, -6.921598410828588399e+00
2.816500000000000000e+09, -6.898626333541319156e+00
2.816750000000000000e+09, -6.875329398151424520e+00
2.817000000000000000e+09, -6.851701421267296865e+00
2.817250000000000000e+09, -6.827736071023000619e+00
2.817500000000000000e+09, -6.803426862762137262e+00
2.817750000000000000e+09, -6.778767154574084408e+00
2.818000000000000000e+09, -6.753750142676782531e+00
2.818250000000000000e+09, -6.728368856640016382e+00
2.818500000000000000e+09, -6.702616154442814889e+00
2.818750000000000000e+09, -6.676484717358348142e+00
2.819000000000000000e+09, -6.649967044659383042e+00
2.819250000000000000e+09, -6.623055448137030510e+00
2.819500000000000000e+09, -6.595742046425220551e+00
2.819750000000000000e+09, -6.568018759122949746e+00
2.820000000000000000e+09, -6.539877300705999374e+00
2.820250000000000000e+09, -6.511309174219450213e+00
2.820500000000000000e+09, -6.482305664741877749e+00
2.820750000000000000e+09, -6.452857832611714528e+00
2.821000000000000000e+09, -6.422956506405791188e+00
2.821250000000000000e+09, -6.392592275659637835e+00
2.821500000000000000e+09, -6.361755483318543014e+00
2.821750000000000000e+09, -6.330436217907947416e+00
2.822000000000000000e+09, -6.298624305411109070e+00
2.822250000000000000e+09, -6.266309300841433227e+00
2.822500000000000000e+09, -6.233480479496233073e+00
2.822750000000000000e+09, -6.200126827878042590e+00
2.823000000000000000e+09, -6.166237034268900352e+00
2.823250000000000000e+09, -6.131799478942328463e+00
2.823500000000000000e+09, -6.096802223996927061e+00
2.823750000000000000e+09, -6.061233002794741864e+00
2.824000000000000000e+09, -6.025079208986658053e+00
2.824250000000000000e+09, -5.988327885106236259e+00
2.824500000000000000e+09, -5.950965710712383228e+00
2.824750000000000000e+09, -5.912978990060301143e+00
2.825000000000000000e+09, -5.874353639279068062e+00
2.825250000000000000e+09, -5.835075173033069440e+00
